"","geoid","USPS","pop2010"
"1019","13193","GA",14740
"1020","49037","UT",14746
"1021","55107","WI",14755
"1022","12065","FL",14761
"1023","48003","TX",14786
"1024","37041","NC",14793
"1025","12047","FL",14799
"1026","48255","TX",14824
"1027","08049","CO",14843
"1028","42057","PA",14845
"1029","17139","IL",14846
"1030","26113","MI",14849
"1031","19023","IA",14867
"1032","21191","KY",14877
"1033","22059","LA",14890
"1034","13221","GA",14899
"1035","13093","GA",14918
"1036","54087","WV",14926
"1037","19085","IA",14928
"1038","28013","MS",14962
"1039","01029","AL",14972
"1040","51011","VA",14973
"1041","21225","KY",15007
"1042","55007","WI",15014
"1043","51125","VA",15020
"1044","40035","OK",15029
"1045","40073","OK",15034
"1046","39115","OH",15054
"1047","19129","IA",15059
"1048","13161","GA",15068
"1049","20011","KS",15173
"1050","45017","SC",15175
"1051","29117","MO",15195
"1052","72117","PR",15200
"1053","40023","OK",15205
"1054","48353","TX",15216
"1055","29073","MO",15222
"1056","27143","MN",15226
"1057","18013","IN",15242
"1058","51063","VA",15279
"1059","22127","LA",15313
"1060","08051","CO",15324
"1061","28135","MS",15378
"1062","17015","IL",15387
"1063","55077","WI",15404
"1064","21103","KY",15416
"1065","17127","IL",15429
"1066","28147","MS",15443
"1067","08003","CO",15445
"1068","55013","WI",15457
"1069","16047","ID",15464
"1070","08071","CO",15507
"1071","48371","TX",15507
"1072","51077","VA",15533
"1073","12125","FL",15535
"1074","19109","IA",15543
"1075","29121","MO",15566
"1076","37121","NC",15579
"1077","29135","MO",15607
"1078","22125","LA",15625
"1079","27135","MN",15629
"1080","30067","MT",15636
"1081","29065","MO",15657
"1082","19079","IA",15673
"1083","19121","IA",15679
"1084","05087","AR",15717
"1085","27129","MN",15730
"1086","31131","NE",15740
"1087","01065","AL",15760
"1088","53055","WA",15769
"1089","40095","OK",15840
"1090","51135","VA",15853
"1091","21127","KY",15860
"1092","12045","FL",15863
"1093","39067","OH",15864
"1094","56007","WY",15885
"1095","26011","MI",15899
"1096","51051","VA",15903
"1097","55129","WI",15911
"1098","19145","IA",15932
"1099","51101","VA",15935
"1100","18159","IN",15936
"1101","21045","KY",15955
"1102","45009","SC",15987
"1103","13133","GA",15994
"1104","27127","MN",16059
"1105","05021","AR",16083
"1106","30041","MT",16096
"1107","41001","OR",16134
"1108","55003","WI",16157
"1109","27001","MN",16202
"1110","08093","CO",16206
"1111","18165","IN",16212
"1112","17159","IL",16233
"1113","27065","MN",16239
"1114","13027","GA",16243
"1115","51005","VA",16250
"1116","16049","ID",16267
"1117","22049","LA",16274
"1118","13241","GA",16276
"1119","20139","KS",16295
"1120","19067","IA",16303
"1121","38077","ND",16321
"1122","17023","IL",16335
"1123","21119","KY",16346
"1124","19095","IA",16355
"1125","54041","WV",16372
"1126","35057","NM",16383
"1127","51750","VA",16408
"1128","12029","FL",16422
"1129","26053","MI",16427
"1130","17149","IL",16430
"1131","17131","IL",16434
"1132","47005","TN",16489
"1133","28129","MS",16491
"1134","13271","GA",16500
"1135","20133","KS",16512
"1136","32013","NV",16528
"1137","25007","MA",16535
"1138","55113","WI",16557
"1139","17039","IL",16561
"1140","40117","OK",16577
"1141","54103","WV",16583
"1142","54001","WV",16589
"1143","48287","TX",16612
"1144","48395","TX",16622
"1145","13083","GA",16633
"1146","72073","PR",16642
"1147","55023","WI",16644
"1148","05089","AR",16653
"1149","19041","IA",16667
"1150","19059","IA",16667
"1151","16045","ID",16719
"1152","17147","IL",16729
