"","geoid","pop2010"
"662","17133",32957
"663","17135",30104
"664","17137",35547
"665","17139",14846
"666","17141",53497
"667","17143",186494
"668","17145",22350
"669","17147",16729
"670","17149",16430
"671","17151",4470
"672","17153",6161
"673","17155",6006
"674","17157",33476
"675","17159",16233
"676","17161",147546
"677","17163",270056
"678","17165",24913
"679","17167",197465
"680","17169",7544
"681","17171",5355
"682","17173",22363
"683","17175",5994
"684","17177",47711
"685","17179",135394
"686","17181",17808
"687","17183",81625
"688","17185",11947
"689","17187",17707
"690","17189",14716
"691","17191",16760
"692","17193",14665
"693","17195",58498
"694","17197",677560
"695","17199",66357
"696","17201",295266
"697","17203",38664
"698","18001",34387
"699","18003",355329
"700","18005",76794
"701","18007",8854
"702","18009",12766
"703","18011",56640
"704","18013",15242
"705","18015",20155
"706","18017",38966
"707","18019",110232
"708","18021",26890
"709","18023",33224
"710","18025",10713
"711","18027",31648
"712","18029",50047
"713","18031",25740
"714","18033",42223
"715","18035",117671
"716","18037",41889
"717","18039",197559
"718","18041",24277
"719","18043",74578
"720","18045",17240
"721","18047",23087
"722","18049",20836
"723","18051",33503
"724","18053",70061
"725","18055",33165
"726","18057",274569
"727","18059",70002
"728","18061",39364
"729","18063",145448
"730","18065",49462
"731","18067",82752
"732","18069",37124
"733","18071",42376
"734","18073",33478
"735","18075",21253
"736","18077",32428
"737","18079",28525
"738","18081",139654
"739","18083",38440
"740","18085",77358
"741","18087",37128
"742","18089",496005
"743","18091",111467
"744","18093",46134
"745","18095",131636
"746","18097",903393
"747","18099",47051
"748","18101",10334
"749","18103",36903
"750","18105",137974
"751","18107",38124
"752","18109",68894
"753","18111",14244
"754","18113",47536
"755","18115",6128
"756","18117",19840
"757","18119",21575
"758","18121",17339
"759","18123",19338
"760","18125",12845
"761","18127",164343
"762","18129",25910
"763","18131",13402
"764","18133",37963
"765","18135",26171
"766","18137",28818
"767","18139",17392
"768","18141",266931
"769","18143",24181
"770","18145",44436
"771","18147",20952
"772","18149",23363
"773","18151",34185
"774","18153",21475
"775","18155",10613
"776","18157",172780
"777","18159",15936
"778","18161",7516
"779","18163",179703
"780","18165",16212
"781","18167",107848
"782","18169",32888
"783","18171",8508
"784","18173",59689
"785","18175",28262
"786","18177",68917
"787","18179",27636
"788","18181",24643
"789","18183",33292
"790","19001",7682
"791","19003",4029
"792","19005",14330
"793","19007",12887
"794","19009",6119
"795","19011",26076
"796","19013",131090
"797","19015",26306
"798","19017",24276
"799","19019",20958
"800","19021",20260
"801","19023",14867
"802","19025",9670
"803","19027",20816
"804","19029",13956
"805","19031",18499
"806","19033",44151
"807","19035",12072
"808","19037",12439
"809","19039",9286
"810","19041",16667
"811","19043",18129
"812","19045",49116
"813","19047",17096
"814","19049",66135
"815","19051",8753
"816","19053",8457
"817","19055",17764
"818","19057",40325
"819","19059",16667
"820","19061",93653
"821","19063",10302
"822","19065",20880
"823","19067",16303
"824","19069",10680
"825","19071",7441
"826","19073",9336
"827","19075",12453
"828","19077",10954
"829","19079",15673
"830","19081",11341
"831","19083",17534
"832","19085",14928
"833","19087",20145
"834","19089",9566
"835","19091",9815
"836","19093",7089
"837","19095",16355
"838","19097",19848
"839","19099",36842
"840","19101",16843
"841","19103",130882
"842","19105",20638
"843","19107",10511
"844","19109",15543
"845","19111",35862
"846","19113",211226
"847","19115",11387
"848","19117",8898
"849","19119",11581
"850","19121",15679
"851","19123",22381
"852","19125",33309
"853","19127",40648
"854","19129",15059
"855","19131",10776
"856","19133",9243
"857","19135",7970
"858","19137",10740
"859","19139",42745
"860","19141",14398
"861","19143",6462
"862","19145",15932
"863","19147",9421
"864","19149",24986
"865","19151",7310
"866","19153",430640
"867","19155",93158
"868","19157",18914
"869","19159",5131
"870","19161",10350
"871","19163",165224
"872","19165",12167
"873","19167",33704
"874","19169",89542
"875","19171",17767
"876","19173",6317
"877","19175",12534
"878","19177",7570
"879","19179",35625
"880","19181",46225
"881","19183",21704
"882","19185",6403
"883","19187",38013
"884","19189",10866
"885","19191",21056
"886","19193",102172
"887","19195",7598
"888","19197",13229
"889","20001",13371
"890","20003",8102
"891","20005",16924
"892","20007",4861
"893","20009",27674
"894","20011",15173
"895","20013",9984
"896","20015",65880
"897","20017",2790
"898","20019",3669
"899","20021",21603
"900","20023",2726
"901","20025",2215
"902","20027",8535
"903","20029",9533
"904","20031",8601
"905","20033",1891
"906","20035",36311
"907","20037",39134
"908","20039",2961
"909","20041",19754
"910","20043",7945
"911","20045",110826
"912","20047",3037
"913","20049",2882
"914","20051",28452
"915","20053",6497
"916","20055",36776
"917","20057",33848
"918","20059",25992
"919","20061",34362
"920","20063",2695
"921","20065",2597
"922","20067",7829
"923","20069",6006
"924","20071",1247
"925","20073",6689
"926","20075",2690
"927","20077",6034
"928","20079",34684
"929","20081",4256
"930","20083",1916
"931","20085",13462
"932","20087",19126
"933","20089",3077
"934","20091",544179
"935","20093",3977
"936","20095",7858
"937","20097",2553
"938","20099",21607
"939","20101",1750
"940","20103",76227
"941","20105",3241
"942","20107",9656
"943","20109",2756
"944","20111",33690
"945","20113",29180
"946","20115",12660
"947","20117",10117
"948","20119",4575
"949","20121",32787
"950","20123",6373
"951","20125",35471
"952","20127",5923
"953","20129",3233
"954","20131",10178
"955","20133",16512
"956","20135",3107
"957","20137",5671
"958","20139",16295
"959","20141",3858
"960","20143",6091
"961","20145",6973
"962","20147",5642
"963","20149",21604
"964","20151",9656
"965","20153",2519
"966","20155",64511
"967","20157",4980
"968","20159",10083
"969","20161",71115
"970","20163",5181
"971","20165",3307
"972","20167",6970
"973","20169",55606
"974","20171",4936
"975","20173",498365
"976","20175",22952
"977","20177",177934
"978","20179",2556
"979","20181",6010
"980","20183",3853
"981","20185",4437
"982","20187",2235
"983","20189",5724
"984","20191",24132
"985","20193",7900
"986","20195",3001
"987","20197",7053
"988","20199",1485
"989","20201",5799
"990","20203",2234
"991","20205",9409
"992","20207",3309
"993","20209",157505
"994","21001",18656
"995","21003",19956
"996","21005",21421
"997","21007",8249
"998","21009",42173
"999","21011",11591
"1000","21013",28691
"1001","21015",118811
"1002","21017",19985
"1003","21019",49542
"1004","21021",28432
"1005","21023",8488
"1006","21025",13878
"1007","21027",20059
"1008","21029",74319
"1009","21031",12690
"1010","21033",12984
"1011","21035",37191
"1012","21037",90336
"1013","21039",5104
"1014","21041",10811
"1015","21043",27720
"1016","21045",15955
"1017","21047",73955
"1018","21049",35613
"1019","21051",21730
"1020","21053",10272
"1021","21055",9315
"1022","21057",6856
"1023","21059",96656
"1024","21061",12161
"1025","21063",7852
"1026","21065",14672
"1027","21067",295803
"1028","21069",14348
"1029","21071",39451
"1030","21073",49285
"1031","21075",6813
"1032","21077",8589
"1033","21079",16912
"1034","21081",24662
"1035","21083",37121
"1036","21085",25746
"1037","21087",11258
"1038","21089",36910
"1039","21091",8565
"1040","21093",105543
"1041","21095",29278
"1042","21097",18846
"1043","21099",18199
"1044","21101",46250
"1045","21103",15416
"1046","21105",4902
"1047","21107",46920
"1048","21109",13494
"1049","21111",741096
"1050","21113",48586
"1051","21115",23356
"1052","21117",159720
"1053","21119",16346
"1054","21121",31883
"1055","21123",14193
"1056","21125",58849
"1057","21127",15860
"1058","21129",7887
"1059","21131",11310
"1060","21133",24519
"1061","21135",13870
"1062","21137",24742
"1063","21139",9519
"1064","21141",26835
"1065","21143",8314
"1066","21145",65565
"1067","21147",18306
"1068","21149",9531
"1069","21151",82916
"1070","21153",13333
"1071","21155",19820
"1072","21157",31448
"1073","21159",12929
"1074","21161",17490
"1075","21163",28602
"1076","21165",6306
"1077","21167",21331
"1078","21169",10099
"1079","21171",10963
"1080","21173",26499
"1081","21175",13923
"1082","21177",31499
"1083","21179",43437
"1084","21181",7135
"1085","21183",23842
"1086","21185",60316
"1087","21187",10841
"1088","21189",4755
"1089","21191",14877
"1090","21193",28712
"1091","21195",65024
"1092","21197",12613
"1093","21199",63063
"1094","21201",2282
"1095","21203",17056
"1096","21205",23333
"1097","21207",17565
"1098","21209",47173
"1099","21211",42074
"1100","21213",17327
"1101","21215",17061
"1102","21217",24512
"1103","21219",12460
"1104","21221",14339
"1105","21223",8809
"1106","21225",15007
"1107","21227",113792
"1108","21229",11717
"1109","21231",20813
"1110","21233",13621
"1111","21235",35637
"1112","21237",7355
"1113","21239",24939
"1114","22001",61773
"1115","22003",25764
"1116","22005",107215
"1117","22007",23421
"1118","22009",42073
"1119","22011",35654
"1120","22013",14353
"1121","22015",116979
"1122","22017",254969
"1123","22019",192768
"1124","22021",10132
"1125","22023",6839
"1126","22025",10407
"1127","22027",17195
"1128","22029",20822
"1129","22031",26656
"1130","22033",440171
"1131","22035",7759
"1132","22037",20267
"1133","22039",33984
"1134","22041",20767
"1135","22043",22309
"1136","22045",73240
"1137","22047",33387
"1138","22049",16274
"1139","22051",432552
"1140","22053",31594
"1141","22055",221578
"1142","22057",96318
"1143","22059",14890
"1144","22061",46735
"1145","22063",128026
"1146","22065",12093
"1147","22067",27979
"1148","22069",39566
"1149","22071",343829
"1150","22073",153720
"1151","22075",23042
"1152","22077",22802
"1153","22079",131613
"1154","22081",9091
"1155","22083",20725
"1156","22085",24233
"1157","22087",35897
"1158","22089",52780
"1159","22091",11203
"1160","22093",22102
"1161","22095",45924
"1162","22097",83384
"1163","22099",52160
"1164","22101",54650
"1165","22103",233740
"1166","22105",121097
"1167","22107",5252
"1168","22109",111860
"1169","22111",22721
"1170","22113",57999
"1171","22115",52334
"1172","22117",47168
"1173","22119",41207
"1174","22121",23788
"1175","22123",11604
"1176","22125",15625
"1177","22127",15313
"1178","23001",107702
"1179","23003",71870
"1180","23005",281674
"1181","23007",30768
"1182","23009",54418
"1183","23011",122151
"1184","23013",39736
"1185","23015",34457
"1186","23017",57833
"1187","23019",153923
"1188","23021",17535
"1189","23023",35293
"1190","23025",52228
"1191","23027",38786
"1192","23029",32856
"1193","23031",197131
"1194","24001",75087
"1195","24003",537656
"1196","24005",805029
"1197","24009",88737
"1198","24011",33066
"1199","24013",167134
"1200","24015",101108
"1201","24017",146551
"1202","24019",32618
"1203","24021",233385
"1204","24023",30097
"1205","24025",244826
"1206","24027",287085
"1207","24029",20197
"1208","24031",971777
"1209","24033",863420
"1210","24035",47798
"1211","24037",105151
"1212","24039",26470
"1213","24041",37782
"1214","24043",147430
"1215","24045",98733
"1216","24047",51454
"1217","24510",620961
"1218","25001",215888
"1219","25003",131219
"1220","25005",548285
"1221","25007",16535
"1222","25009",743159
"1223","25011",71372
"1224","25013",463490
"1225","25015",158080
"1226","25017",1503085
"1227","25019",10172
"1228","25021",670850
"1229","25023",494919
"1230","25025",722023
"1231","25027",798552
"1232","26001",10942
"1233","26003",9601
"1234","26005",111408
"1235","26007",29598
"1236","26009",23580
"1237","26011",15899
"1238","26013",8860
"1239","26015",59173
"1240","26017",107771
"1241","26019",17525
"1242","26021",156813
"1243","26023",45248
"1244","26025",136146
"1245","26027",52293
"1246","26029",25949
"1247","26031",26152
"1248","26033",38520
"1249","26035",30926
"1250","26037",75382
"1251","26039",14074
"1252","26041",37069
"1253","26043",26168
"1254","26045",107759
"1255","26047",32694
"1256","26049",425790
"1257","26051",25692
"1258","26053",16427
"1259","26055",86986
"1260","26057",42476
"1261","26059",46688
"1262","26061",36628
"1263","26063",33118
"1264","26065",280895
"1265","26067",63905
"1266","26069",25887
"1267","26071",11817
"1268","26073",70311
"1269","26075",160248
"1270","26077",250331
"1271","26079",17153
"1272","26081",602622
"1273","26083",2156
"1274","26085",11539
"1275","26087",88319
"1276","26089",21708
"1277","26091",99892
"1278","26093",180967
"1279","26095",6631
"1280","26097",11113
"1281","26099",840978
"1282","26101",24733
"1283","26103",67077
"1284","26105",28705
"1285","26107",42798
"1286","26109",24029
"1287","26111",83629
"1288","26113",14849
"1289","26115",152021
"1290","26117",63342
"1291","26119",9765
"1292","26121",172188
"1293","26123",48460
"1294","26125",1202362
"1295","26127",26570
"1296","26129",21699
"1297","26131",6780
"1298","26133",23528
"1299","26135",8640
"1300","26137",24164
"1301","26139",263801
"1302","26141",13376
"1303","26143",24449
"1304","26145",200169
"1305","26147",163040
"1306","26149",61295
"1307","26151",43114
"1308","26153",8485
"1309","26155",70648
"1310","26157",55729
"1311","26159",76258
"1312","26161",344791
"1313","26163",1820584
"1314","26165",32735
"1315","27001",16202
"1316","27003",330844
"1317","27005",32504
"1318","27007",44442
"1319","27009",38451
"1320","27011",5269
"1321","27013",64013
"1322","27015",25893
"1323","27017",35386
"1324","27019",91042
"1325","27021",28567
"1326","27023",12441
"1327","27025",53887
"1328","27027",58999
"1329","27029",8695
"1330","27031",5176
"1331","27033",11687
"1332","27035",62500
"1333","27037",398552
"1334","27039",20087
"1335","27041",36009
"1336","27043",14553
"1337","27045",20866
"1338","27047",31255
"1339","27049",46183
"1340","27051",6018
"1341","27053",1152425
"1342","27055",19027
"1343","27057",20428
"1344","27059",37816
"1345","27061",45058
"1346","27063",10266
"1347","27065",16239
"1348","27067",42239
